阈值倍数,样品类型,支持数,灰区数,不支持数,平均校准支持概率
0.85,小号铁钉,360,80,0,0.99978
0.85,小号铁夹,360,80,0,0.999913
0.85,普通钢筋,184,36,0,0.997759
0.85,锈蚀钢筋,170,50,0,0.999447
0.9,小号铁钉,360,80,0,0.999713
0.9,小号铁夹,360,80,0,0.999883
0.9,普通钢筋,182,38,0,0.997255
0.9,锈蚀钢筋,170,50,0,0.999299
0.95,小号铁钉,360,80,0,0.999628
0.95,小号铁夹,360,80,0,0.999843
0.95,普通钢筋,181,39,0,0.996655
0.95,锈蚀钢筋,169,51,0,0.999116
1.0,小号铁钉,360,80,0,0.99952
1.0,小号铁夹,360,80,0,0.999791
1.0,普通钢筋,178,42,0,0.995945
1.0,锈蚀钢筋,167,53,0,0.998893
1.05,小号铁钉,358,82,0,0.999386
1.05,小号铁夹,360,80,0,0.999724
1.05,普通钢筋,178,42,0,0.995112
1.05,锈蚀钢筋,166,54,0,0.998622
1.1,小号铁钉,357,83,0,0.999218
1.1,小号铁夹,360,80,0,0.999639
1.1,普通钢筋,176,44,0,0.994141
1.1,锈蚀钢筋,164,56,0,0.998295
1.15,小号铁钉,355,85,0,0.999011
1.15,小号铁夹,360,80,0,0.999529
1.15,普通钢筋,174,46,0,0.993016
1.15,锈蚀钢筋,163,57,0,0.997905
