变量,系数,聚类稳健标准误,t值,近似p值,含义
截距,2.683037,0.002875,933.294,<1e-6,基准衰减截距
小号铁钉,0.667165,0.001046,637.82,<1e-6,相对普通钢筋的类型效应
小号铁夹,0.867364,0.001308,662.886,<1e-6,相对普通钢筋的类型效应
锈蚀钢筋,1.342676,0.00415,323.5,<1e-6,相对普通钢筋的类型效应
时间_z,1.71491,0.000825,2078.249,<1e-6,时间主效应
时间_z^2,0.136436,0.002126,64.179,<1e-6,时间非线性修正
累计温度_z,-0.017207,0.000446,-38.542,<1e-6,去时间趋势后的累计温度主效应
累计湿度_z,0.042677,0.00065,65.668,<1e-6,去时间趋势后的累计湿度主效应
锈蚀钢筋×时间_z,0.778232,0.003377,230.469,<1e-6,锈蚀钢筋时间交互
小号铁钉×时间_z,0.387003,0.000847,456.658,<1e-6,小号铁钉时间交互
小号铁夹×时间_z,0.502646,0.001064,472.508,<1e-6,小号铁夹时间交互
累计温湿交互_z,0.026023,0.000398,65.411,<1e-6,去时间趋势后的温湿交互主效应
