sample_type,sample_id,delay_days,m0_hat_mt,m0_hat_lower_mt,m0_hat_upper_mt,bootstrap_sd_mt,bootstrap_support_rate,support_probability,relative_width
小号铁钉,1,1,2.487333,2.480031,2.4944,0.003929,0.9995,0.999833,0.005777
小号铁钉,1,2,2.414542,2.407396,2.42145,0.003834,0.9995,0.999685,0.005821
小号铁钉,1,3,2.34553,2.338356,2.352492,0.003769,0.9995,0.999438,0.006027
小号铁钉,1,4,2.36955,2.36322,2.375705,0.00333,0.9995,0.999539,0.005269
小号铁钉,1,5,2.400327,2.394465,2.406007,0.00308,0.9995,0.999644,0.004808
小号铁钉,1,6,2.397562,2.393314,2.401635,0.002246,0.9995,0.999636,0.003471
小号铁钉,1,7,2.412079,2.408947,2.415082,0.001649,0.9995,0.999678,0.002543
小号铁钉,1,8,2.397304,2.396073,2.39847,0.000609,0.9995,0.999635,0.001
小号铁钉,1,9,2.421288,2.420508,2.422114,0.000394,0.9995,0.999703,0.000663
小号铁钉,1,10,2.480511,2.479638,2.481415,0.000468,0.9995,0.999822,0.000716
小号铁钉,1,11,2.562776,2.561031,2.564511,0.000913,0.9995,0.999915,0.001358
小号铁钉,1,12,2.633174,2.630774,2.635619,0.001269,0.9995,0.999956,0.00184
小号铁钉,1,13,2.543158,2.541091,2.545323,0.001124,0.9995,0.999899,0.001664
小号铁钉,1,14,2.538795,2.535056,2.54267,0.002013,0.9995,0.999895,0.002999
小号铁钉,1,15,2.560277,2.555599,2.56512,0.00249,0.9995,0.999913,0.003719
小号铁钉,1,22,2.297533,2.288977,2.306167,0.004459,0.9995,0.99917,0.007482
小号铁钉,1,30,2.365802,2.357829,2.373945,0.004318,0.9995,0.999525,0.006812
小号铁钉,1,37,2.340329,2.325771,2.3553,0.007899,0.9995,0.999412,0.012617
小号铁钉,1,44,2.407113,2.391391,2.423545,0.008776,0.9995,0.999663,0.013358
小号铁钉,1,51,2.637914,2.623402,2.652524,0.00778,0.9995,0.999958,0.01104
小号铁钉,1,58,2.31056,2.30372,2.31739,0.003477,0.9995,0.999253,0.005916
小号铁钉,1,90,2.413728,2.379502,2.44427,0.016899,0.9995,0.999679,0.026833
小号铁钉,2,1,3.777349,3.76626,3.788081,0.005967,0.9995,1.0,0.005777
小号铁钉,2,2,3.66677,3.655917,3.67726,0.005822,0.9995,1.0,0.005821
小号铁钉,2,3,3.562073,3.551178,3.572646,0.005724,0.9995,1.0,0.006027
小号铁钉,2,4,3.598624,3.589011,3.607972,0.005057,0.9995,1.0,0.005269
