case_id,sample_type,day,weather,temp_c,hum_pct,retention_ratio
CASE-001,小号铁钉,1,阵雨,31.2,78.0,0.998215
CASE-001,小号铁钉,2,阵雨,31.2,78.0,0.998215
CASE-001,小号铁钉,3,阵雨,31.2,78.0,0.998215
CASE-001,小号铁钉,4,阵雨,31.2,78.0,0.998215
CASE-001,小号铁钉,5,阵雨,31.2,78.0,0.998215
CASE-001,小号铁钉,6,阵雨,31.2,78.0,0.998215
CASE-001,小号铁钉,7,阵雨,31.2,78.0,0.998215
CASE-001,小号铁钉,8,阵雨,31.2,78.0,0.998215
CASE-001,小号铁钉,9,阵雨,31.2,78.0,0.998215
CASE-001,小号铁钉,10,阵雨,31.2,78.0,0.998215
CASE-001,小号铁钉,11,阵雨,31.2,78.0,0.998215
CASE-001,小号铁钉,12,阵雨,31.2,78.0,0.998215
CASE-001,小号铁钉,13,阵雨,31.2,78.0,0.998215
CASE-001,小号铁钉,14,阵雨,31.2,78.0,0.998215
CASE-001,小号铁钉,15,阵雨,31.2,78.0,0.998215
CASE-001,小号铁夹,1,阵雨,31.2,78.0,0.996109
CASE-001,小号铁夹,2,阵雨,31.2,78.0,0.996109
CASE-001,小号铁夹,3,阵雨,31.2,78.0,0.996109
CASE-001,小号铁夹,4,阵雨,31.2,78.0,0.996109
CASE-001,小号铁夹,5,阵雨,31.2,78.0,0.996109
CASE-001,小号铁夹,6,阵雨,31.2,78.0,0.996109
CASE-001,小号铁夹,7,阵雨,31.2,78.0,0.996109
CASE-001,小号铁夹,8,阵雨,31.2,78.0,0.996109
CASE-001,小号铁夹,9,阵雨,31.2,78.0,0.996109
CASE-001,小号铁夹,10,阵雨,31.2,78.0,0.996109
CASE-001,小号铁夹,11,阵雨,31.2,78.0,0.996109
CASE-001,小号铁夹,12,阵雨,31.2,78.0,0.996109
CASE-001,小号铁夹,13,阵雨,31.2,78.0,0.996109
CASE-001,小号铁夹,14,阵雨,31.2,78.0,0.996109
CASE-001,小号铁夹,15,阵雨,31.2,78.0,0.996109
CASE-001,普通钢筋,1,阵雨,31.2,78.0,1.0
CASE-001,普通钢筋,2,阵雨,31.2,78.0,1.0
CASE-001,普通钢筋,3,阵雨,31.2,78.0,1.0
CASE-001,普通钢筋,4,阵雨,31.2,78.0,1.0
CASE-001,普通钢筋,5,阵雨,31.2,78.0,1.0
CASE-001,普通钢筋,6,阵雨,31.2,78.0,1.0
CASE-001,普通钢筋,7,阵雨,31.2,78.0,1.0
CASE-001,普通钢筋,8,阵雨,31.2,78.0,1.0
CASE-001,普通钢筋,9,阵雨,31.2,78.0,1.0
CASE-001,普通钢筋,10,阵雨,31.2,78.0,1.0
CASE-001,普通钢筋,11,阵雨,31.2,78.0,1.0
CASE-001,普通钢筋,12,阵雨,31.2,78.0,1.0
CASE-001,普通钢筋,13,阵雨,31.2,78.0,1.0
CASE-001,普通钢筋,14,阵雨,31.2,78.0,1.0
CASE-001,普通钢筋,15,阵雨,31.2,78.0,1.0
CASE-001,锈蚀钢筋,1,阵雨,31.2,78.0,0.992869
CASE-001,锈蚀钢筋,2,阵雨,31.2,78.0,0.992869
CASE-001,锈蚀钢筋,3,阵雨,31.2,78.0,0.992869
CASE-001,锈蚀钢筋,4,阵雨,31.2,78.0,0.992869
CASE-001,锈蚀钢筋,5,阵雨,31.2,78.0,0.992869
CASE-001,锈蚀钢筋,6,阵雨,31.2,78.0,0.992869
CASE-001,锈蚀钢筋,7,阵雨,31.2,78.0,0.992869
CASE-001,锈蚀钢筋,8,阵雨,31.2,78.0,0.992869
CASE-001,锈蚀钢筋,9,阵雨,31.2,78.0,0.992869
CASE-001,锈蚀钢筋,10,阵雨,31.2,78.0,0.992869
CASE-001,锈蚀钢筋,11,阵雨,31.2,78.0,0.992869
CASE-001,锈蚀钢筋,12,阵雨,31.2,78.0,0.992869
CASE-001,锈蚀钢筋,13,阵雨,31.2,78.0,0.992869
CASE-001,锈蚀钢筋,14,阵雨,31.2,78.0,0.992869
CASE-001,锈蚀钢筋,15,阵雨,31.2,78.0,0.992869
