sample_type,sample_id,delay_days,retention_ratio,relative_width,is_failure,failure_reason
小号铁钉,1,1,0.875958,0.005777,no,none
小号铁钉,1,2,0.808559,0.005821,no,none
小号铁钉,1,3,0.745802,0.006027,no,none
小号铁钉,1,4,0.698656,0.005269,no,none
小号铁钉,1,5,0.651078,0.004808,no,none
小号铁钉,1,6,0.616501,0.003471,no,none
小号铁钉,1,7,0.57979,0.002543,no,none
小号铁钉,1,8,0.553038,0.001,no,none
小号铁钉,1,9,0.516667,0.000663,no,none
小号铁钉,1,10,0.474942,0.000716,no,none
小号铁钉,1,11,0.432305,0.001358,no,none
小号铁钉,1,12,0.396366,0.00184,no,none
小号铁钉,1,13,0.389712,0.001664,no,none
小号铁钉,1,14,0.369112,0.002999,no,none
小号铁钉,1,15,0.345197,0.003719,no,none
小号铁钉,1,22,0.212358,0.007482,no,none
小号铁钉,1,30,0.111506,0.006812,no,none
小号铁钉,1,37,0.071699,0.012617,no,none
小号铁钉,1,44,0.041917,0.013358,yes,retention_too_low
小号铁钉,1,51,0.022821,0.01104,yes,retention_too_low
小号铁钉,1,58,0.011383,0.005916,yes,retention_too_low
小号铁钉,1,90,0.00058,0.026833,yes,retention_too_low
小号铁钉,2,1,0.875958,0.005777,no,none
小号铁钉,2,2,0.808559,0.005821,no,none
小号铁钉,2,3,0.745802,0.006027,no,none
小号铁钉,2,4,0.698656,0.005269,no,none
小号铁钉,2,5,0.651078,0.004808,no,none
小号铁钉,2,6,0.616501,0.003471,no,none
小号铁钉,2,7,0.57979,0.002543,no,none
小号铁钉,2,8,0.553038,0.001,no,none
小号铁钉,2,9,0.516667,0.000663,no,none
小号铁钉,2,10,0.474942,0.000716,no,none
小号铁钉,2,11,0.432305,0.001358,no,none
小号铁钉,2,12,0.396366,0.00184,no,none
小号铁钉,2,13,0.389712,0.001664,no,none
小号铁钉,2,14,0.369112,0.002999,no,none
小号铁钉,2,15,0.345197,0.003719,no,none
小号铁钉,2,22,0.212358,0.007482,no,none
小号铁钉,2,30,0.111506,0.006812,no,none
小号铁钉,2,37,0.071699,0.012617,no,none
小号铁钉,2,44,0.041917,0.013358,yes,retention_too_low
小号铁钉,2,51,0.022821,0.01104,yes,retention_too_low
小号铁钉,2,58,0.011383,0.005916,yes,retention_too_low
小号铁钉,2,90,0.00058,0.026833,yes,retention_too_low
小号铁钉,3,1,0.875958,0.005777,no,none
小号铁钉,3,2,0.808559,0.005821,no,none
小号铁钉,3,3,0.745802,0.006027,no,none
小号铁钉,3,4,0.698656,0.005269,no,none
小号铁钉,3,5,0.651078,0.004808,no,none
小号铁钉,3,6,0.616501,0.003471,no,none
小号铁钉,3,7,0.57979,0.002543,no,none
小号铁钉,3,8,0.553038,0.001,no,none
小号铁钉,3,9,0.516667,0.000663,no,none
小号铁钉,3,10,0.474942,0.000716,no,none
小号铁钉,3,11,0.432305,0.001358,no,none
小号铁钉,3,12,0.396366,0.00184,no,none
小号铁钉,3,13,0.389712,0.001664,no,none
小号铁钉,3,14,0.369112,0.002999,no,none
小号铁钉,3,15,0.345197,0.003719,no,none
小号铁钉,3,22,0.212358,0.007482,no,none
小号铁钉,3,30,0.111506,0.006812,no,none
小号铁钉,3,37,0.071699,0.012617,no,none
小号铁钉,3,44,0.041917,0.013358,yes,retention_too_low
小号铁钉,3,51,0.022821,0.01104,yes,retention_too_low
小号铁钉,3,58,0.011383,0.005916,yes,retention_too_low
小号铁钉,3,90,0.00058,0.026833,yes,retention_too_low
小号铁钉,4,1,0.875958,0.005777,no,none
小号铁钉,4,2,0.808559,0.005821,no,none
小号铁钉,4,3,0.745802,0.006027,no,none
小号铁钉,4,4,0.698656,0.005269,no,none
小号铁钉,4,5,0.651078,0.004808,no,none
小号铁钉,4,6,0.616501,0.003471,no,none
小号铁钉,4,7,0.57979,0.002543,no,none
小号铁钉,4,8,0.553038,0.001,no,none
小号铁钉,4,9,0.516667,0.000663,no,none
小号铁钉,4,10,0.474942,0.000716,no,none
小号铁钉,4,11,0.432305,0.001358,no,none
小号铁钉,4,12,0.396366,0.00184,no,none
小号铁钉,4,13,0.389712,0.001664,no,none
小号铁钉,4,14,0.369112,0.002999,no,none
小号铁钉,4,15,0.345197,0.003719,no,none
小号铁钉,4,22,0.212358,0.007482,no,none
小号铁钉,4,30,0.111506,0.006812,no,none
小号铁钉,4,37,0.071699,0.012617,no,none
小号铁钉,4,44,0.041917,0.013358,yes,retention_too_low
小号铁钉,4,51,0.022821,0.01104,yes,retention_too_low
小号铁钉,4,58,0.011383,0.005916,yes,retention_too_low
小号铁钉,4,90,0.00058,0.026833,yes,retention_too_low
小号铁钉,5,1,0.875958,0.005777,no,none
小号铁钉,5,2,0.808559,0.005821,no,none
小号铁钉,5,3,0.745802,0.006027,no,none
小号铁钉,5,4,0.698656,0.005269,no,none
小号铁钉,5,5,0.651078,0.004808,no,none
小号铁钉,5,6,0.616501,0.003471,no,none
小号铁钉,5,7,0.57979,0.002543,no,none
小号铁钉,5,8,0.553038,0.001,no,none
小号铁钉,5,9,0.516667,0.000663,no,none
小号铁钉,5,10,0.474942,0.000716,no,none
小号铁钉,5,11,0.432305,0.001358,no,none
小号铁钉,5,12,0.396366,0.00184,no,none
小号铁钉,5,13,0.389712,0.001664,no,none
小号铁钉,5,14,0.369112,0.002999,no,none
小号铁钉,5,15,0.345197,0.003719,no,none
小号铁钉,5,22,0.212358,0.007482,no,none
小号铁钉,5,30,0.111506,0.006812,no,none
小号铁钉,5,37,0.071699,0.012617,no,none
小号铁钉,5,44,0.041917,0.013358,yes,retention_too_low
小号铁钉,5,51,0.022821,0.01104,yes,retention_too_low
小号铁钉,5,58,0.011383,0.005916,yes,retention_too_low
小号铁钉,5,90,0.00058,0.026833,yes,retention_too_low
小号铁钉,6,1,0.875958,0.005777,no,none
小号铁钉,6,2,0.808559,0.005821,no,none
小号铁钉,6,3,0.745802,0.006027,no,none
小号铁钉,6,4,0.698656,0.005269,no,none
小号铁钉,6,5,0.651078,0.004808,no,none
小号铁钉,6,6,0.616501,0.003471,no,none
小号铁钉,6,7,0.57979,0.002543,no,none
小号铁钉,6,8,0.553038,0.001,no,none
小号铁钉,6,9,0.516667,0.000663,no,none
小号铁钉,6,10,0.474942,0.000716,no,none
小号铁钉,6,11,0.432305,0.001358,no,none
小号铁钉,6,12,0.396366,0.00184,no,none
小号铁钉,6,13,0.389712,0.001664,no,none
小号铁钉,6,14,0.369112,0.002999,no,none
小号铁钉,6,15,0.345197,0.003719,no,none
小号铁钉,6,22,0.212358,0.007482,no,none
小号铁钉,6,30,0.111506,0.006812,no,none
小号铁钉,6,37,0.071699,0.012617,no,none
小号铁钉,6,44,0.041917,0.013358,yes,retention_too_low
小号铁钉,6,51,0.022821,0.01104,yes,retention_too_low
小号铁钉,6,58,0.011383,0.005916,yes,retention_too_low
小号铁钉,6,90,0.00058,0.026833,yes,retention_too_low
小号铁钉,7,1,0.875958,0.005777,no,none
小号铁钉,7,2,0.808559,0.005821,no,none
小号铁钉,7,3,0.745802,0.006027,no,none
小号铁钉,7,4,0.698656,0.005269,no,none
小号铁钉,7,5,0.651078,0.004808,no,none
小号铁钉,7,6,0.616501,0.003471,no,none
小号铁钉,7,7,0.57979,0.002543,no,none
小号铁钉,7,8,0.553038,0.001,no,none
小号铁钉,7,9,0.516667,0.000663,no,none
小号铁钉,7,10,0.474942,0.000716,no,none
小号铁钉,7,11,0.432305,0.001358,no,none
小号铁钉,7,12,0.396366,0.00184,no,none
小号铁钉,7,13,0.389712,0.001664,no,none
小号铁钉,7,14,0.369112,0.002999,no,none
小号铁钉,7,15,0.345197,0.003719,no,none
小号铁钉,7,22,0.212358,0.007482,no,none
小号铁钉,7,30,0.111506,0.006812,no,none
小号铁钉,7,37,0.071699,0.012617,no,none
小号铁钉,7,44,0.041917,0.013358,yes,retention_too_low
小号铁钉,7,51,0.022821,0.01104,yes,retention_too_low
小号铁钉,7,58,0.011383,0.005916,yes,retention_too_low
小号铁钉,7,90,0.00058,0.026833,yes,retention_too_low
小号铁钉,8,1,0.875958,0.005777,no,none
小号铁钉,8,2,0.808559,0.005821,no,none
小号铁钉,8,3,0.745802,0.006027,no,none
小号铁钉,8,4,0.698656,0.005269,no,none
小号铁钉,8,5,0.651078,0.004808,no,none
小号铁钉,8,6,0.616501,0.003471,no,none
小号铁钉,8,7,0.57979,0.002543,no,none
小号铁钉,8,8,0.553038,0.001,no,none
小号铁钉,8,9,0.516667,0.000663,no,none
