day,weather,temp_c,hum_pct,sample_type,theta_static_mt,theta_dynamic_mt,theta_dynamic_lower_mt,theta_dynamic_upper_mt
1,小雨,9.0,90.0,小号铁钉,1.0,0.875958,0.873477,0.878537
2,小雨转阴,7.5,85.0,小号铁钉,1.0,0.808559,0.806253,0.810959
3,阴转小雨,7.5,85.0,小号铁钉,1.0,0.745802,0.743594,0.74809
4,多云,7.5,75.0,小号铁钉,1.0,0.698656,0.696846,0.700527
5,雾/晴,8.5,80.0,小号铁钉,1.0,0.651078,0.649541,0.652672
6,多云,9.5,75.0,小号铁钉,1.0,0.616501,0.615456,0.617596
7,多云,8.5,75.0,小号铁钉,1.0,0.57979,0.579069,0.580544
8,晴,9.0,70.0,小号铁钉,1.0,0.553038,0.552769,0.553322
9,轻度雾霾,10.0,80.0,小号铁钉,1.0,0.516667,0.516491,0.516834
10,雾/阴,9.0,85.0,小号铁钉,1.0,0.474942,0.474769,0.47511
11,雾/阴,7.0,90.0,小号铁钉,1.0,0.432305,0.432012,0.432599
12,雾/多云,8.0,85.0,小号铁钉,1.0,0.396366,0.395998,0.396727
13,晴转多云,11.0,65.0,小号铁钉,1.0,0.389712,0.389381,0.390029
14,多云,10.5,75.0,小号铁钉,1.0,0.369112,0.36855,0.369657
15,中度雾霾,11.5,80.0,小号铁钉,1.0,0.345197,0.344545,0.345829
16,中度雾霾,12.0,80.0,小号铁钉,1.0,0.323179,0.322442,0.323926
17,晴/多云,13.5,65.0,小号铁钉,1.0,0.323179,0.324164,0.327236
18,阴,11.5,80.0,小号铁钉,1.0,0.303943,0.302414,0.305486
19,中雨,11.5,90.0,小号铁钉,1.0,0.273377,0.272164,0.274616
20,小雨,8.5,85.0,小号铁钉,1.0,0.249333,0.248333,0.250363
21,小雨,7.0,85.0,小号铁钉,1.0,0.226853,0.226075,0.227649
22,晴,8.0,70.0,小号铁钉,1.0,0.212358,0.211563,0.213152
23,多云,8.5,75.0,小号铁钉,1.0,0.197396,0.196639,0.198137
24,多云,9.0,75.0,小号铁钉,1.0,0.183914,0.18316,0.184643
