case_id,sample_type,delay_days,weather_scenario,target_decision,day,weather,temp_c,hum_pct,retention_ratio
REP-001-1,小号铁钉,7,normal,支持曾遭雷击,1,阴转多云,12.5,80.0,0.908353
REP-001-1,小号铁钉,7,normal,支持曾遭雷击,2,晴转多云,11.0,70.0,0.885299
REP-001-1,小号铁钉,7,normal,支持曾遭雷击,3,阴,12.5,80.0,0.838241
REP-001-1,小号铁钉,7,normal,支持曾遭雷击,4,阴,15.5,80.0,0.801747
REP-001-1,小号铁钉,7,normal,支持曾遭雷击,5,小雨,14.0,85.0,0.743882
REP-001-1,小号铁钉,7,normal,支持曾遭雷击,6,小雨,11.5,85.0,0.687745
REP-001-1,小号铁钉,7,normal,支持曾遭雷击,7,多云,11.5,75.0,0.658728
REP-001-2,小号铁钉,7,normal,灰区/证据不足,1,阴转多云,12.5,80.0,0.908353
REP-001-2,小号铁钉,7,normal,灰区/证据不足,2,晴转多云,11.0,70.0,0.885299
REP-001-2,小号铁钉,7,normal,灰区/证据不足,3,阴,12.5,80.0,0.838241
REP-001-2,小号铁钉,7,normal,灰区/证据不足,4,阴,15.5,80.0,0.801747
REP-001-2,小号铁钉,7,normal,灰区/证据不足,5,小雨,14.0,85.0,0.743882
REP-001-2,小号铁钉,7,normal,灰区/证据不足,6,小雨,11.5,85.0,0.687745
REP-001-2,小号铁钉,7,normal,灰区/证据不足,7,多云,11.5,75.0,0.658728
REP-001-3,小号铁钉,7,normal,不支持曾遭雷击,1,阴转多云,12.5,80.0,0.908353
REP-001-3,小号铁钉,7,normal,不支持曾遭雷击,2,晴转多云,11.0,70.0,0.885299
REP-001-3,小号铁钉,7,normal,不支持曾遭雷击,3,阴,12.5,80.0,0.838241
REP-001-3,小号铁钉,7,normal,不支持曾遭雷击,4,阴,15.5,80.0,0.801747
REP-001-3,小号铁钉,7,normal,不支持曾遭雷击,5,小雨,14.0,85.0,0.743882
REP-001-3,小号铁钉,7,normal,不支持曾遭雷击,6,小雨,11.5,85.0,0.687745
REP-001-3,小号铁钉,7,normal,不支持曾遭雷击,7,多云,11.5,75.0,0.658728
REP-002-1,小号铁钉,7,humid_hot,支持曾遭雷击,1,小雨,18.0,85.0,0.895444
REP-002-1,小号铁钉,7,humid_hot,支持曾遭雷击,2,小雨,19.0,85.0,0.837352
REP-002-1,小号铁钉,7,humid_hot,支持曾遭雷击,3,晴转小雨,19.5,85.0,0.7829
REP-002-1,小号铁钉,7,humid_hot,支持曾遭雷击,4,小雨,18.5,85.0,0.73063
REP-002-1,小号铁钉,7,humid_hot,支持曾遭雷击,5,雨,18.5,85.0,0.681352
REP-002-1,小号铁钉,7,humid_hot,支持曾遭雷击,6,雨转阴,20.0,80.0,0.661404
REP-002-1,小号铁钉,7,humid_hot,支持曾遭雷击,7,阴,20.0,80.0,0.641571
REP-002-2,小号铁钉,7,humid_hot,灰区/证据不足,1,小雨,18.0,85.0,0.895444
REP-002-2,小号铁钉,7,humid_hot,灰区/证据不足,2,小雨,19.0,85.0,0.837352
REP-002-2,小号铁钉,7,humid_hot,灰区/证据不足,3,晴转小雨,19.5,85.0,0.7829
REP-002-2,小号铁钉,7,humid_hot,灰区/证据不足,4,小雨,18.5,85.0,0.73063
REP-002-2,小号铁钉,7,humid_hot,灰区/证据不足,5,雨,18.5,85.0,0.681352
REP-002-2,小号铁钉,7,humid_hot,灰区/证据不足,6,雨转阴,20.0,80.0,0.661404
REP-002-2,小号铁钉,7,humid_hot,灰区/证据不足,7,阴,20.0,80.0,0.641571
REP-002-3,小号铁钉,7,humid_hot,不支持曾遭雷击,1,小雨,18.0,85.0,0.895444
REP-002-3,小号铁钉,7,humid_hot,不支持曾遭雷击,2,小雨,19.0,85.0,0.837352
REP-002-3,小号铁钉,7,humid_hot,不支持曾遭雷击,3,晴转小雨,19.5,85.0,0.7829
REP-002-3,小号铁钉,7,humid_hot,不支持曾遭雷击,4,小雨,18.5,85.0,0.73063
REP-002-3,小号铁钉,7,humid_hot,不支持曾遭雷击,5,雨,18.5,85.0,0.681352
REP-002-3,小号铁钉,7,humid_hot,不支持曾遭雷击,6,雨转阴,20.0,80.0,0.661404
REP-002-3,小号铁钉,7,humid_hot,不支持曾遭雷击,7,阴,20.0,80.0,0.641571
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,1,阴,10.0,80.0,0.900186
