case_id,sample_type,delay_days,weather_scenario,target_decision,day,date,temp_c,hum_pct,weather_text
REP-001-1,小号铁钉,7,normal,支持曾遭雷击,1,2026-07-02,12.5,80.0,阴转多云
REP-001-1,小号铁钉,7,normal,支持曾遭雷击,2,2026-07-03,11.0,70.0,晴转多云
REP-001-1,小号铁钉,7,normal,支持曾遭雷击,3,2026-07-04,12.5,80.0,阴
REP-001-1,小号铁钉,7,normal,支持曾遭雷击,4,2026-07-05,15.5,80.0,阴
REP-001-1,小号铁钉,7,normal,支持曾遭雷击,5,2026-07-06,14.0,85.0,小雨
REP-001-1,小号铁钉,7,normal,支持曾遭雷击,6,2026-07-07,11.5,85.0,小雨
REP-001-1,小号铁钉,7,normal,支持曾遭雷击,7,2026-07-08,11.5,75.0,多云
REP-001-2,小号铁钉,7,normal,灰区/证据不足,1,2026-07-02,12.5,80.0,阴转多云
REP-001-2,小号铁钉,7,normal,灰区/证据不足,2,2026-07-03,11.0,70.0,晴转多云
REP-001-2,小号铁钉,7,normal,灰区/证据不足,3,2026-07-04,12.5,80.0,阴
REP-001-2,小号铁钉,7,normal,灰区/证据不足,4,2026-07-05,15.5,80.0,阴
REP-001-2,小号铁钉,7,normal,灰区/证据不足,5,2026-07-06,14.0,85.0,小雨
REP-001-2,小号铁钉,7,normal,灰区/证据不足,6,2026-07-07,11.5,85.0,小雨
REP-001-2,小号铁钉,7,normal,灰区/证据不足,7,2026-07-08,11.5,75.0,多云
REP-001-3,小号铁钉,7,normal,不支持曾遭雷击,1,2026-07-02,12.5,80.0,阴转多云
REP-001-3,小号铁钉,7,normal,不支持曾遭雷击,2,2026-07-03,11.0,70.0,晴转多云
REP-001-3,小号铁钉,7,normal,不支持曾遭雷击,3,2026-07-04,12.5,80.0,阴
REP-001-3,小号铁钉,7,normal,不支持曾遭雷击,4,2026-07-05,15.5,80.0,阴
REP-001-3,小号铁钉,7,normal,不支持曾遭雷击,5,2026-07-06,14.0,85.0,小雨
REP-001-3,小号铁钉,7,normal,不支持曾遭雷击,6,2026-07-07,11.5,85.0,小雨
REP-001-3,小号铁钉,7,normal,不支持曾遭雷击,7,2026-07-08,11.5,75.0,多云
REP-002-1,小号铁钉,7,humid_hot,支持曾遭雷击,1,2026-07-02,18.0,85.0,小雨
REP-002-1,小号铁钉,7,humid_hot,支持曾遭雷击,2,2026-07-03,19.0,85.0,小雨
REP-002-1,小号铁钉,7,humid_hot,支持曾遭雷击,3,2026-07-04,19.5,85.0,晴转小雨
REP-002-1,小号铁钉,7,humid_hot,支持曾遭雷击,4,2026-07-05,18.5,85.0,小雨
REP-002-1,小号铁钉,7,humid_hot,支持曾遭雷击,5,2026-07-06,18.5,85.0,雨
