样品类型,样品编号,测量天数,观测剩磁(mT),保留率R,反推初值点估计(mT),反推初值下界(mT),反推初值上界(mT),三区域判定,辅助概率
小号铁钉,1,1,2.1788,0.875958,2.487333,2.479755,2.494636,支持曾遭雷击,1.0
小号铁钉,1,2,1.9523,0.808559,2.414542,2.406981,2.421597,支持曾遭雷击,1.0
小号铁钉,1,3,1.7493,0.745802,2.34553,2.337912,2.352384,支持曾遭雷击,1.0
小号铁钉,1,4,1.6555,0.698656,2.36955,2.362817,2.375623,支持曾遭雷击,1.0
小号铁钉,1,5,1.5628,0.651078,2.400327,2.394127,2.405926,支持曾遭雷击,1.0
小号铁钉,1,6,1.4781,0.616501,2.397562,2.393014,2.401715,支持曾遭雷击,1.0
小号铁钉,1,7,1.3985,0.57979,2.412079,2.408774,2.415123,支持曾遭雷击,1.0
小号铁钉,1,8,1.3258,0.553038,2.397304,2.396108,2.398531,支持曾遭雷击,1.0
小号铁钉,1,9,1.251,0.516667,2.421288,2.420473,2.422231,支持曾遭雷击,1.0
小号铁钉,1,10,1.1781,0.474942,2.480511,2.479604,2.481443,支持曾遭雷击,1.0
小号铁钉,1,11,1.1079,0.432305,2.562776,2.560989,2.564371,支持曾遭雷击,1.0
小号铁钉,1,12,1.0437,0.396366,2.633174,2.630553,2.635427,支持曾遭雷击,1.0
小号铁钉,1,13,0.9911,0.389712,2.543158,2.541056,2.545281,支持曾遭雷击,1.0
小号铁钉,1,14,0.9371,0.369112,2.538795,2.535197,2.542791,支持曾遭雷击,1.0
小号铁钉,1,15,0.8838,0.345197,2.560277,2.555699,2.56519,支持曾遭雷击,1.0
小号铁钉,1,22,0.4879,0.212358,2.297533,2.28962,2.306342,支持曾遭雷击,1.0
小号铁钉,1,30,0.2638,0.111506,2.365802,2.357678,2.374565,支持曾遭雷击,1.0
小号铁钉,1,37,0.1678,0.071699,2.340329,2.325982,2.356536,支持曾遭雷击,1.0
小号铁钉,1,44,0.1009,0.041917,2.407113,2.390824,2.424637,支持曾遭雷击,1.0
小号铁钉,1,51,0.0602,0.022821,2.637914,2.623187,2.652519,支持曾遭雷击,1.0
小号铁钉,1,58,0.0263,0.011383,2.31056,2.303569,2.316937,支持曾遭雷击,1.0
小号铁钉,1,90,0.0014,0.00058,2.413728,2.380093,2.445672,支持曾遭雷击,1.0
小号铁钉,2,1,3.3088,0.875958,3.777349,3.765841,3.78844,支持曾遭雷击,1.0
小号铁钉,2,2,2.9648,0.808559,3.66677,3.655287,3.677483,支持曾遭雷击,1.0
小号铁钉,2,3,2.6566,0.745802,3.562073,3.550504,3.572483,支持曾遭雷击,1.0
小号铁钉,2,4,2.5142,0.698656,3.598624,3.588398,3.607848,支持曾遭雷击,1.0
小号铁钉,2,5,2.3734,0.651078,3.645339,3.635923,3.653842,支持曾遭雷击,1.0
小号铁钉,2,6,2.2448,0.616501,3.641193,3.634286,3.6475,支持曾遭雷击,1.0
小号铁钉,2,7,2.1238,0.57979,3.663049,3.658029,3.667671,支持曾遭雷击,1.0
小号铁钉,2,8,2.0134,0.553038,3.640618,3.638802,3.642481,支持曾遭雷击,1.0
小号铁钉,2,9,1.8998,0.516667,3.677029,3.675791,3.678461,支持曾遭雷击,1.0
小号铁钉,2,10,1.7892,0.474942,3.767193,3.765815,3.768608,支持曾遭雷击,1.0
小号铁钉,2,11,1.6825,0.432305,3.891931,3.889217,3.894354,支持曾遭雷击,1.0
