天数,天气,样品类型,点估计阈值,下界,上界,Bootstrap次数
1,小雨,小号铁钉,0.875958,0.873477,0.878537,1000
1,小雨,小号铁夹,0.87411,0.871445,0.876801,1000
1,小雨,普通钢筋,1.319551,1.315766,1.323507,1000
1,小雨,锈蚀钢筋,1.306901,1.302141,1.312333,1000
7,多云,小号铁钉,0.57979,0.579069,0.580544,1000
7,多云,小号铁夹,0.563319,0.562559,0.56407,1000
7,多云,普通钢筋,0.955061,0.953889,0.956301,1000
7,多云,锈蚀钢筋,0.790295,0.788884,0.791969,1000
15,中度雾霾,小号铁钉,0.345197,0.344545,0.345829,1000
15,中度雾霾,小号铁夹,0.323657,0.323068,0.324263,1000
15,中度雾霾,普通钢筋,0.640595,0.639409,0.641762,1000
15,中度雾霾,锈蚀钢筋,0.417123,0.416342,0.417917,1000
22,晴,小号铁钉,0.212358,0.211563,0.213152,1000
22,晴,小号铁夹,0.192999,0.19228,0.193739,1000
22,晴,普通钢筋,0.437394,0.435759,0.438991,1000
22,晴,锈蚀钢筋,0.230932,0.22988,0.231883,1000
30,小雨,小号铁钉,0.111506,0.111123,0.111883,1000
30,小雨,小号铁夹,0.097795,0.09746,0.098139,1000
30,小雨,普通钢筋,0.258735,0.25786,0.259617,1000
30,小雨,锈蚀钢筋,0.107495,0.106969,0.107963,1000
58,分散阵雨转多云,小号铁钉,0.011383,0.011349,0.011416,1000
58,分散阵雨转多云,小号铁夹,0.008813,0.008783,0.008844,1000
58,分散阵雨转多云,普通钢筋,0.040082,0.039997,0.040171,1000
58,分散阵雨转多云,锈蚀钢筋,0.007198,0.007113,0.007268,1000
90,阴,小号铁钉,0.00058,0.000573,0.000588,1000
90,阴,小号铁夹,0.000389,0.000384,0.000395,1000
90,阴,普通钢筋,0.00329,0.003252,0.003329,1000
90,阴,锈蚀钢筋,0.000227,0.000221,0.000232,1000
