样品类型,样品编号,测量天数,观测剩磁(mT),保留率R,动态阈值(mT),反推初值点估计(mT),反推初值下界(mT),反推初值上界(mT),区间相对宽度,反推初值裕度(mT),校准Z值,Bootstrap支持率,校准支持概率,三区域判定,高风险提示
小号铁钉,1,1,2.1788,0.875958,0.875958,2.487333,2.480031,2.4944,0.005777,1.487333,3.586799,0.9995,0.999833,支持曾遭雷击,否
小号铁钉,1,2,1.9523,0.808559,0.808559,2.414542,2.407396,2.42145,0.005821,1.414542,3.418115,0.9995,0.999685,支持曾遭雷击,否
小号铁钉,1,3,1.7493,0.745802,0.745802,2.34553,2.338356,2.352492,0.006027,1.34553,3.257389,0.9995,0.999438,支持曾遭雷击,否
小号铁钉,1,4,1.6555,0.698656,0.698656,2.36955,2.36322,2.375705,0.005269,1.36955,3.313448,0.9995,0.999539,支持曾遭雷击,否
小号铁钉,1,5,1.5628,0.651078,0.651078,2.400327,2.394465,2.406007,0.004808,1.400327,3.385122,0.9995,0.999644,支持曾遭雷击,否
小号铁钉,1,6,1.4781,0.616501,0.616501,2.397562,2.393314,2.401635,0.003471,1.397562,3.378734,0.9995,0.999636,支持曾遭雷击,否
小号铁钉,1,7,1.3985,0.57979,0.57979,2.412079,2.408947,2.415082,0.002543,1.412079,3.41251,0.9995,0.999678,支持曾遭雷击,否
小号铁钉,1,8,1.3258,0.553038,0.553038,2.397304,2.396073,2.39847,0.001,1.397304,3.37818,0.9995,0.999635,支持曾遭雷击,否
小号铁钉,1,9,1.251,0.516667,0.516667,2.421288,2.420508,2.422114,0.000663,1.421288,3.433931,0.9995,0.999703,支持曾遭雷击,否
小号铁钉,1,10,1.1781,0.474942,0.474942,2.480511,2.479638,2.481415,0.000716,1.480511,3.571184,0.9995,0.999822,支持曾遭雷击,否
小号铁钉,1,11,1.1079,0.432305,0.432305,2.562776,2.561031,2.564511,0.001358,1.562776,3.760864,0.9995,0.999915,支持曾遭雷击,否
小号铁钉,1,12,1.0437,0.396366,0.396366,2.633174,2.630774,2.635619,0.00184,1.633174,3.922265,0.9995,0.999956,支持曾遭雷击,否
小号铁钉,1,13,0.9911,0.389712,0.389712,2.543158,2.541091,2.545323,0.001664,1.543158,3.715729,0.9995,0.999899,支持曾遭雷击,否
小号铁钉,1,14,0.9371,0.369112,0.369112,2.538795,2.535056,2.54267,0.002999,1.538795,3.705653,0.9995,0.999895,支持曾遭雷击,否
小号铁钉,1,15,0.8838,0.345197,0.345197,2.560277,2.555599,2.56512,0.003719,1.560277,3.755061,0.9995,0.999913,支持曾遭雷击,否
小号铁钉,1,22,0.4879,0.212358,0.212358,2.297533,2.288977,2.306167,0.007482,1.297533,3.145105,0.9995,0.99917,支持曾遭雷击,否
小号铁钉,1,30,0.2638,0.111506,0.111506,2.365802,2.357829,2.373945,0.006812,1.365802,3.30464,0.9995,0.999525,支持曾遭雷击,否
小号铁钉,1,37,0.1678,0.071699,0.071699,2.340329,2.325771,2.3553,0.012617,1.340329,3.244787,0.9995,0.999412,支持曾遭雷击,否
小号铁钉,1,44,0.1009,0.041917,0.041917,2.407113,2.391391,2.423545,0.013358,1.407113,3.40023,0.9995,0.999663,灰区/证据不足,是
小号铁钉,1,51,0.0602,0.022821,0.022821,2.637914,2.623402,2.652524,0.01104,1.637914,3.932434,0.9995,0.999958,灰区/证据不足,是
小号铁钉,1,58,0.0263,0.011383,0.011383,2.31056,2.30372,2.31739,0.005916,1.31056,3.175674,0.9995,0.999253,灰区/证据不足,是
小号铁钉,1,90,0.0014,0.00058,0.00058,2.413728,2.379502,2.44427,0.026833,1.413728,3.413525,0.9995,0.999679,灰区/证据不足,是
小号铁钉,2,1,3.3088,0.875958,0.875958,3.777349,3.76626,3.788081,0.005777,2.777349,6.412989,0.9995,1.0,支持曾遭雷击,否
小号铁钉,2,2,2.9648,0.808559,0.808559,3.66677,3.655917,3.67726,0.005821,2.66677,6.183919,0.9995,1.0,支持曾遭雷击,否
小号铁钉,2,3,2.6566,0.745802,0.745802,3.562073,3.551178,3.572646,0.006027,2.562073,5.964617,0.9995,1.0,支持曾遭雷击,否
小号铁钉,2,4,2.5142,0.698656,0.698656,3.598624,3.589011,3.607972,0.005269,2.598624,6.041566,0.9995,1.0,支持曾遭雷击,否
小号铁钉,2,5,2.3734,0.651078,0.651078,3.645339,3.636437,3.653965,0.004808,2.645339,6.139414,0.9995,1.0,支持曾遭雷击,否
小号铁钉,2,6,2.2448,0.616501,0.616501,3.641193,3.634741,3.647378,0.003471,2.641193,6.130923,0.9995,1.0,支持曾遭雷击,否
小号铁钉,2,7,2.1238,0.57979,0.57979,3.663049,3.658292,3.667608,0.002543,2.663049,6.176622,0.9995,1.0,支持曾遭雷击,否
小号铁钉,2,8,2.0134,0.553038,0.553038,3.640618,3.638749,3.64239,0.001,2.640618,6.129901,0.9995,1.0,支持曾遭雷击,否
小号铁钉,2,9,1.8998,0.516667,0.516667,3.677029,3.675843,3.678283,0.000663,2.677029,6.205844,0.9995,1.0,支持曾遭雷击,否
小号铁钉,2,10,1.7892,0.474942,0.474942,3.767193,3.765868,3.768566,0.000716,2.767193,6.392656,0.9995,1.0,支持曾遭雷击,否
小号铁钉,2,11,1.6825,0.432305,0.432305,3.891931,3.889281,3.894566,0.001358,2.891931,6.648181,0.9995,1.0,支持曾遭雷击,否
小号铁钉,2,12,1.585,0.396366,0.396366,3.998832,3.995187,4.002544,0.00184,2.998832,6.864448,0.9995,1.0,支持曾遭雷击,否
小号铁钉,2,13,1.5051,0.389712,0.389712,3.86208,3.85894,3.865367,0.001664,2.86208,6.587316,0.9995,1.0,支持曾遭雷击,否
小号铁钉,2,14,1.4231,0.369112,0.369112,3.855468,3.84979,3.861353,0.002999,2.855468,6.573701,0.9995,1.0,支持曾遭雷击,否
小号铁钉,2,15,1.3422,0.345197,0.345197,3.888214,3.88111,3.89557,0.003719,2.888214,6.640398,0.9995,1.0,支持曾遭雷击,否
小号铁钉,2,22,0.741,0.212358,0.212358,3.489386,3.476393,3.5025,0.007482,2.489386,5.810782,0.9995,1.0,支持曾遭雷击,否
小号铁钉,2,30,0.4007,0.111506,0.111506,3.593544,3.581433,3.605913,0.006812,2.593544,6.030621,0.9995,1.0,支持曾遭雷击,否
小号铁钉,2,37,0.2548,0.071699,0.071699,3.55373,3.531624,3.576463,0.012617,2.55373,5.945248,0.9995,1.0,支持曾遭雷击,否
小号铁钉,2,44,0.1533,0.041917,0.041917,3.65719,3.633303,3.682155,0.013358,2.65719,6.161562,0.9995,1.0,灰区/证据不足,是
小号铁钉,2,51,0.0915,0.022821,0.022821,4.009454,3.987397,4.031661,0.01104,3.009454,6.883351,0.9995,1.0,灰区/证据不足,是
小号铁钉,2,58,0.04,0.011383,0.011383,3.514159,3.503757,3.524548,0.005916,2.514159,5.86355,0.9995,1.0,灰区/证据不足,是
小号铁钉,2,90,0.0022,0.00058,0.00058,3.793002,3.739217,3.840996,0.026833,2.793002,6.433744,0.9995,1.0,灰区/证据不足,是
小号铁钉,3,1,2.8798,0.875958,0.875958,3.2876,3.277948,3.29694,0.005777,2.2876,5.378841,0.9995,1.0,支持曾遭雷击,否
小号铁钉,3,2,2.5805,0.808559,0.808559,3.19148,3.182034,3.20061,0.005821,2.19148,5.170051,0.9995,1.0,支持曾遭雷击,否
小号铁钉,3,3,2.3122,0.745802,0.745802,3.100288,3.090806,3.109491,0.006027,2.100288,4.970259,0.9995,1.0,支持曾遭雷击,否
小号铁钉,3,4,2.1882,0.698656,0.698656,3.132014,3.123647,3.14015,0.005269,2.132014,5.040033,0.9995,1.0,支持曾遭雷击,否
小号铁钉,3,5,2.0657,0.651078,0.651078,3.172739,3.16499,3.180246,0.004808,2.172739,5.129252,0.9995,1.0,支持曾遭雷击,否
小号铁钉,3,6,1.9538,0.616501,0.616501,3.169175,3.163559,3.174558,0.003471,2.169175,5.121572,0.9995,1.0,支持曾遭雷击,否
小号铁钉,3,7,1.8484,0.57979,0.57979,3.188049,3.183909,3.192018,0.002543,2.188049,5.162865,0.9995,1.0,支持曾遭雷击,否
小号铁钉,3,8,1.7524,0.553038,0.553038,3.16868,3.167053,3.170221,0.001,2.16868,5.120607,0.9995,1.0,支持曾遭雷击,否
小号铁钉,3,9,1.6535,0.516667,0.516667,3.20032,3.199288,3.201411,0.000663,2.20032,5.189699,0.9995,1.0,支持曾遭雷击,否
小号铁钉,3,10,1.5572,0.474942,0.474942,3.278713,3.277559,3.279908,0.000716,2.278713,5.360008,0.9995,1.0,支持曾遭雷击,否
小号铁钉,3,11,1.4643,0.432305,0.432305,3.387194,3.384888,3.389488,0.001358,2.387194,5.593618,0.9995,1.0,支持曾遭雷击,否
小号铁钉,3,12,1.3795,0.396366,0.396366,3.480371,3.477199,3.483603,0.00184,2.480371,5.792332,0.9995,1.0,支持曾遭雷击,否
小号铁钉,3,13,1.31,0.389712,0.389712,3.361454,3.358722,3.364315,0.001664,2.361454,5.53839,0.9995,1.0,支持曾遭雷击,否
小号铁钉,3,14,1.2386,0.369112,0.369112,3.35562,3.350678,3.360742,0.002999,2.35562,5.525782,0.9995,1.0,支持曾遭雷击,否
小号铁钉,3,15,1.1682,0.345197,0.345197,3.384154,3.377971,3.390556,0.003719,2.384154,5.58696,0.9995,1.0,支持曾遭雷击,否
小号铁钉,3,22,0.6449,0.212358,0.212358,3.036849,3.025541,3.048262,0.007482,2.036849,4.830167,0.9995,0.999999,支持曾遭雷击,否
小号铁钉,3,30,0.3487,0.111506,0.111506,3.1272,3.11666,3.137963,0.006812,2.1272,5.029285,0.9995,1.0,支持曾遭雷击,否
小号铁钉,3,37,0.2217,0.071699,0.071699,3.09208,3.072846,3.11186,0.012617,2.09208,4.951027,0.9995,1.0,支持曾遭雷击,否
小号铁钉,3,44,0.1334,0.041917,0.041917,3.182447,3.161661,3.204172,0.013358,2.182447,5.148771,0.9995,1.0,灰区/证据不足,是
小号铁钉,3,51,0.0796,0.022821,0.022821,3.488006,3.468817,3.507325,0.01104,2.488006,5.806905,0.9995,1.0,灰区/证据不足,是
小号铁钉,3,58,0.0348,0.011383,0.011383,3.057319,3.048269,3.066357,0.005916,2.057319,4.875597,0.9995,0.999999,灰区/证据不足,是
小号铁钉,3,90,0.0019,0.00058,0.00058,3.275774,3.229324,3.317223,0.026833,2.275774,5.345877,0.9995,1.0,灰区/证据不足,是
小号铁钉,4,1,2.6183,0.875958,0.875958,2.989069,2.980294,2.997562,0.005777,1.989069,4.724412,0.9995,0.999999,支持曾遭雷击,否
