天数,天气,样品类型,点估计阈值,下界,上界,Bootstrap次数
1,小雨,小号铁钉,0.875958,0.873394,0.878635,200
1,小雨,小号铁夹,0.87411,0.871705,0.87653,200
1,小雨,普通钢筋,1.319551,1.315667,1.323372,200
1,小雨,锈蚀钢筋,1.306901,1.302219,1.31277,200
7,多云,小号铁钉,0.57979,0.57906,0.580586,200
7,多云,小号铁夹,0.563319,0.562617,0.564038,200
7,多云,普通钢筋,0.955061,0.953889,0.956264,200
7,多云,锈蚀钢筋,0.790295,0.789014,0.792143,200
15,中度雾霾,小号铁钉,0.345197,0.344536,0.345815,200
15,中度雾霾,小号铁夹,0.323657,0.323026,0.324229,200
15,中度雾霾,普通钢筋,0.640595,0.639371,0.641696,200
15,中度雾霾,锈蚀钢筋,0.417123,0.416243,0.417868,200
22,晴,小号铁钉,0.212358,0.211547,0.213092,200
22,晴,小号铁夹,0.192999,0.192229,0.193688,200
22,晴,普通钢筋,0.437394,0.435757,0.438862,200
22,晴,锈蚀钢筋,0.230932,0.229796,0.23185,200
30,小雨,小号铁钉,0.111506,0.111094,0.11189,200
30,小雨,小号铁夹,0.097795,0.097474,0.098102,200
30,小雨,普通钢筋,0.258735,0.257952,0.259633,200
30,小雨,锈蚀钢筋,0.107495,0.106892,0.107937,200
58,分散阵雨转多云,小号铁钉,0.011383,0.011351,0.011417,200
58,分散阵雨转多云,小号铁夹,0.008813,0.00878,0.008845,200
58,分散阵雨转多云,普通钢筋,0.040082,0.040001,0.040161,200
58,分散阵雨转多云,锈蚀钢筋,0.007198,0.007109,0.007262,200
90,阴,小号铁钉,0.00058,0.000572,0.000588,200
90,阴,小号铁夹,0.000389,0.000384,0.000395,200
90,阴,普通钢筋,0.00329,0.003248,0.003326,200
90,阴,锈蚀钢筋,0.000227,0.000221,0.000232,200
