sample_type,sample_id,delay_days,observed_magnetism_mt,retention_ratio,dynamic_threshold_mt,m0_hat_mt,static_threshold_mt,support_gap_mt
小号铁钉,1,1,2.1788,0.875958,0.875958,2.487333,1.0,1.487333
小号铁钉,1,2,1.9523,0.808559,0.808559,2.414542,1.0,1.414542
小号铁钉,1,3,1.7493,0.745802,0.745802,2.34553,1.0,1.34553
小号铁钉,1,4,1.6555,0.698656,0.698656,2.36955,1.0,1.36955
小号铁钉,1,5,1.5628,0.651078,0.651078,2.400327,1.0,1.400327
小号铁钉,1,6,1.4781,0.616501,0.616501,2.397562,1.0,1.397562
小号铁钉,1,7,1.3985,0.57979,0.57979,2.412079,1.0,1.412079
小号铁钉,1,8,1.3258,0.553038,0.553038,2.397304,1.0,1.397304
小号铁钉,1,9,1.251,0.516667,0.516667,2.421288,1.0,1.421288
小号铁钉,1,10,1.1781,0.474942,0.474942,2.480511,1.0,1.480511
小号铁钉,1,11,1.1079,0.432305,0.432305,2.562776,1.0,1.562776
小号铁钉,1,12,1.0437,0.396366,0.396366,2.633174,1.0,1.633174
小号铁钉,1,13,0.9911,0.389712,0.389712,2.543158,1.0,1.543158
小号铁钉,1,14,0.9371,0.369112,0.369112,2.538795,1.0,1.538795
小号铁钉,1,15,0.8838,0.345197,0.345197,2.560277,1.0,1.560277
小号铁钉,1,22,0.4879,0.212358,0.212358,2.297533,1.0,1.297533
小号铁钉,1,30,0.2638,0.111506,0.111506,2.365802,1.0,1.365802
小号铁钉,1,37,0.1678,0.071699,0.071699,2.340329,1.0,1.340329
小号铁钉,1,44,0.1009,0.041917,0.041917,2.407113,1.0,1.407113
小号铁钉,1,51,0.0602,0.022821,0.022821,2.637914,1.0,1.637914
小号铁钉,1,58,0.0263,0.011383,0.011383,2.31056,1.0,1.31056
小号铁钉,1,90,0.0014,0.00058,0.00058,2.413728,1.0,1.413728
小号铁钉,2,1,3.3088,0.875958,0.875958,3.777349,1.0,2.777349
小号铁钉,2,2,2.9648,0.808559,0.808559,3.66677,1.0,2.66677
小号铁钉,2,3,2.6566,0.745802,0.745802,3.562073,1.0,2.562073
小号铁钉,2,4,2.5142,0.698656,0.698656,3.598624,1.0,2.598624
小号铁钉,2,5,2.3734,0.651078,0.651078,3.645339,1.0,2.645339
小号铁钉,2,6,2.2448,0.616501,0.616501,3.641193,1.0,2.641193
