case_id,sample_type,day,theta_static_mt,theta_dynamic_mt
CASE-001,小号铁钉,1,1.0,0.998215
CASE-001,小号铁钉,2,1.0,0.998215
CASE-001,小号铁钉,3,1.0,0.998215
CASE-001,小号铁钉,4,1.0,0.998215
CASE-001,小号铁钉,5,1.0,0.998215
CASE-001,小号铁钉,6,1.0,0.998215
CASE-001,小号铁钉,7,1.0,0.998215
CASE-001,小号铁钉,8,1.0,0.998215
CASE-001,小号铁钉,9,1.0,0.998215
CASE-001,小号铁钉,10,1.0,0.998215
CASE-001,小号铁钉,11,1.0,0.998215
CASE-001,小号铁钉,12,1.0,0.998215
CASE-001,小号铁钉,13,1.0,0.998215
CASE-001,小号铁钉,14,1.0,0.998215
CASE-001,小号铁钉,15,1.0,0.998215
CASE-001,小号铁夹,1,1.0,0.996109
CASE-001,小号铁夹,2,1.0,0.996109
CASE-001,小号铁夹,3,1.0,0.996109
CASE-001,小号铁夹,4,1.0,0.996109
CASE-001,小号铁夹,5,1.0,0.996109
CASE-001,小号铁夹,6,1.0,0.996109
CASE-001,小号铁夹,7,1.0,0.996109
CASE-001,小号铁夹,8,1.0,0.996109
CASE-001,小号铁夹,9,1.0,0.996109
CASE-001,小号铁夹,10,1.0,0.996109
CASE-001,小号铁夹,11,1.0,0.996109
CASE-001,小号铁夹,12,1.0,0.996109
CASE-001,小号铁夹,13,1.0,0.996109
CASE-001,小号铁夹,14,1.0,0.996109
CASE-001,小号铁夹,15,1.0,0.996109
CASE-001,普通钢筋,1,1.5,1.5
CASE-001,普通钢筋,2,1.5,1.5
CASE-001,普通钢筋,3,1.5,1.5
CASE-001,普通钢筋,4,1.5,1.5
CASE-001,普通钢筋,5,1.5,1.5
CASE-001,普通钢筋,6,1.5,1.5
CASE-001,普通钢筋,7,1.5,1.5
CASE-001,普通钢筋,8,1.5,1.5
CASE-001,普通钢筋,9,1.5,1.5
CASE-001,普通钢筋,10,1.5,1.5
CASE-001,普通钢筋,11,1.5,1.5
CASE-001,普通钢筋,12,1.5,1.5
CASE-001,普通钢筋,13,1.5,1.5
CASE-001,普通钢筋,14,1.5,1.5
CASE-001,普通钢筋,15,1.5,1.5
CASE-001,锈蚀钢筋,1,1.5,1.489304
CASE-001,锈蚀钢筋,2,1.5,1.489304
CASE-001,锈蚀钢筋,3,1.5,1.489304
CASE-001,锈蚀钢筋,4,1.5,1.489304
CASE-001,锈蚀钢筋,5,1.5,1.489304
CASE-001,锈蚀钢筋,6,1.5,1.489304
CASE-001,锈蚀钢筋,7,1.5,1.489304
CASE-001,锈蚀钢筋,8,1.5,1.489304
CASE-001,锈蚀钢筋,9,1.5,1.489304
CASE-001,锈蚀钢筋,10,1.5,1.489304
CASE-001,锈蚀钢筋,11,1.5,1.489304
CASE-001,锈蚀钢筋,12,1.5,1.489304
CASE-001,锈蚀钢筋,13,1.5,1.489304
CASE-001,锈蚀钢筋,14,1.5,1.489304
CASE-001,锈蚀钢筋,15,1.5,1.489304
