case_id,sample_type,sample_id,delay_days,observed_magnetism_mt,weather,temp_c,hum_pct,weather_source
EXPERIMENT_INTERNAL,小号铁钉,1,1,2.1788,小雨,9.0,90.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,1,2,1.9523,小雨转阴,7.5,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,1,3,1.7493,阴转小雨,7.5,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,1,4,1.6555,多云,7.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,1,5,1.5628,雾/晴,8.5,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,1,6,1.4781,多云,9.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,1,7,1.3985,多云,8.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,1,8,1.3258,晴,9.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,1,9,1.251,轻度雾霾,10.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,1,10,1.1781,雾/阴,9.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,1,11,1.1079,雾/阴,7.0,90.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,1,12,1.0437,雾/多云,8.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,1,13,0.9911,晴转多云,11.0,65.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,1,14,0.9371,多云,10.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,1,15,0.8838,中度雾霾,11.5,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,1,22,0.4879,晴,8.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,1,30,0.2638,小雨,10.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,1,37,0.1678,多云转小雨,14.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,1,44,0.1009,晴转多云,11.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,1,51,0.0602,阴,13.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,1,58,0.0263,分散阵雨转多云,18.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,1,90,0.0014,阴,20.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,2,1,3.3088,小雨,9.0,90.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,2,2,2.9648,小雨转阴,7.5,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,2,3,2.6566,阴转小雨,7.5,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,2,4,2.5142,多云,7.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,2,5,2.3734,雾/晴,8.5,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,2,6,2.2448,多云,9.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,2,7,2.1238,多云,8.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,2,8,2.0134,晴,9.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,2,9,1.8998,轻度雾霾,10.0,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,2,10,1.7892,雾/阴,9.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,2,11,1.6825,雾/阴,7.0,90.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,2,12,1.585,雾/多云,8.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,2,13,1.5051,晴转多云,11.0,65.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,2,14,1.4231,多云,10.5,75.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,2,15,1.3422,中度雾霾,11.5,80.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,2,22,0.741,晴,8.0,70.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,2,30,0.4007,小雨,10.0,85.0,附件2/内置天气轨迹
EXPERIMENT_INTERNAL,小号铁钉,2,37,0.2548,多云转小雨,14.0,85.0,附件2/内置天气轨迹
