case_id,sample_type,delay_days,weather_scenario,target_decision,bootstrap_sd_mt,bootstrap_support_rate,support_probability
REP-001-1,小号铁钉,7,normal,支持曾遭雷击,0.006504,0.997512,0.99985
REP-001-2,小号铁钉,7,normal,灰区/证据不足,0.002654,0.997512,0.519815
REP-001-3,小号铁钉,7,normal,不支持曾遭雷击,0.00013,0.002488,0.008775
REP-002-1,小号铁钉,7,humid_hot,支持曾遭雷击,0.014649,0.997512,0.999849
REP-002-2,小号铁钉,7,humid_hot,灰区/证据不足,0.005977,0.997512,0.519813
REP-002-3,小号铁钉,7,humid_hot,不支持曾遭雷击,0.000293,0.002488,0.008775
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,0.024837,0.997512,0.999847
REP-003-2,小号铁钉,30,normal,灰区/证据不足,0.010134,0.972637,0.519809
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,0.000497,0.002488,0.008775
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,0.051334,0.997512,0.999834
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,0.020944,0.818408,0.519788
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,0.001027,0.002488,0.008776
REP-005-1,小号铁钉,60,normal,灰区/证据不足,0.011912,0.952736,0.519806
REP-006-1,小号铁钉,60,humid_hot,灰区/证据不足,0.020226,0.818408,0.51979
REP-007-1,小号铁夹,7,normal,支持曾遭雷击,0.006432,0.997512,0.99985
REP-007-2,小号铁夹,7,normal,灰区/证据不足,0.002624,0.997512,0.519815
REP-007-3,小号铁夹,7,normal,不支持曾遭雷击,0.000129,0.002488,0.008775
REP-008-1,小号铁夹,7,humid_hot,支持曾遭雷击,0.01457,0.997512,0.999849
REP-008-2,小号铁夹,7,humid_hot,灰区/证据不足,0.005945,0.997512,0.519813
REP-008-3,小号铁夹,7,humid_hot,不支持曾遭雷击,0.000291,0.002488,0.008775
REP-009-1,小号铁夹,30,normal,支持曾遭雷击,0.025042,0.997512,0.999847
REP-009-2,小号铁夹,30,normal,灰区/证据不足,0.010217,0.967662,0.519809
REP-009-3,小号铁夹,30,normal,不支持曾遭雷击,0.000501,0.002488,0.008775
REP-010-1,小号铁夹,30,humid_hot,支持曾遭雷击,0.051543,0.997512,0.999834
REP-010-2,小号铁夹,30,humid_hot,灰区/证据不足,0.021029,0.818408,0.519788
REP-010-3,小号铁夹,30,humid_hot,不支持曾遭雷击,0.001031,0.002488,0.008776
REP-011-1,小号铁夹,60,normal,灰区/证据不足,0.012156,0.947761,0.519806
REP-012-1,小号铁夹,60,humid_hot,灰区/证据不足,0.020487,0.818408,0.519789
REP-013-1,普通钢筋,7,normal,支持曾遭雷击,0.009908,0.997512,0.99985
REP-013-2,普通钢筋,7,normal,灰区/证据不足,0.004042,0.997512,0.519815
REP-013-3,普通钢筋,7,normal,不支持曾遭雷击,0.000198,0.002488,0.008775
REP-014-1,普通钢筋,7,humid_hot,支持曾遭雷击,0.022202,0.997512,0.999849
REP-014-2,普通钢筋,7,humid_hot,灰区/证据不足,0.009058,0.997512,0.519813
REP-014-3,普通钢筋,7,humid_hot,不支持曾遭雷击,0.000444,0.002488,0.008775
REP-015-1,普通钢筋,30,normal,支持曾遭雷击,0.036919,0.997512,0.999847
REP-015-2,普通钢筋,30,normal,灰区/证据不足,0.015063,0.972637,0.519809
REP-015-3,普通钢筋,30,normal,不支持曾遭雷击,0.000738,0.002488,0.008775
REP-016-1,普通钢筋,30,humid_hot,支持曾遭雷击,0.076618,0.997512,0.999834
REP-016-2,普通钢筋,30,humid_hot,灰区/证据不足,0.03126,0.828358,0.519789
REP-016-3,普通钢筋,30,humid_hot,不支持曾遭雷击,0.001532,0.002488,0.008776
REP-017-1,普通钢筋,60,normal,灰区/证据不足,0.017555,0.952736,0.519807
REP-018-1,普通钢筋,60,humid_hot,灰区/证据不足,0.029807,0.823383,0.519791
REP-019-1,锈蚀钢筋,7,normal,支持曾遭雷击,0.007987,0.997512,0.99985
REP-019-2,锈蚀钢筋,7,normal,灰区/证据不足,0.003259,0.997512,0.519815
REP-019-3,锈蚀钢筋,7,normal,不支持曾遭雷击,0.00016,0.002488,0.008775
REP-020-1,锈蚀钢筋,7,humid_hot,支持曾遭雷击,0.019818,0.997512,0.999849
REP-020-2,锈蚀钢筋,7,humid_hot,灰区/证据不足,0.008086,0.997512,0.519813
REP-020-3,锈蚀钢筋,7,humid_hot,不支持曾遭雷击,0.000396,0.002488,0.008775
REP-021-1,锈蚀钢筋,30,normal,支持曾遭雷击,0.042115,0.997512,0.999846
REP-021-2,锈蚀钢筋,30,normal,灰区/证据不足,0.017183,0.962687,0.519807
REP-021-3,锈蚀钢筋,30,normal,不支持曾遭雷击,0.000842,0.002488,0.008775
REP-022-1,锈蚀钢筋,30,humid_hot,支持曾遭雷击,0.082019,0.997512,0.999832
REP-022-2,锈蚀钢筋,30,humid_hot,灰区/证据不足,0.033464,0.793532,0.519785
REP-022-3,锈蚀钢筋,30,humid_hot,不支持曾遭雷击,0.00164,0.002488,0.008776
REP-023-1,锈蚀钢筋,60,normal,灰区/证据不足,0.023451,0.878109,0.5198
REP-024-1,锈蚀钢筋,60,humid_hot,灰区/证据不足,0.03667,0.763682,0.519779
