case_id,sample_type,delay_days,weather_scenario,target_decision,target_initial_mt,observed_magnetism_mt,retention_ratio,dynamic_threshold_mt,m0_hat_mt,m0_hat_lower_mt,m0_hat_upper_mt,relative_width,support_probability,actual_decision,target_hit
REP-001-1,小号铁钉,7,normal,支持曾遭雷击,2.5,1.64682,0.658728,0.658728,2.5,2.486348,2.512252,0.010361,0.99985,支持曾遭雷击,yes
REP-001-2,小号铁钉,7,normal,灰区/证据不足,1.02,0.671902,0.658728,0.658728,1.02,1.01443,1.024999,0.010361,0.519815,灰区/证据不足,yes
REP-001-3,小号铁钉,7,normal,不支持曾遭雷击,0.05,0.032936,0.658728,0.658728,0.05,0.049727,0.050245,0.010361,0.008775,不支持曾遭雷击,yes
REP-002-1,小号铁钉,7,humid_hot,支持曾遭雷击,2.5,1.603928,0.641571,0.641571,2.5,2.47175,2.526027,0.021711,0.999849,支持曾遭雷击,yes
REP-002-2,小号铁钉,7,humid_hot,灰区/证据不足,1.02,0.654403,0.641571,0.641571,1.02,1.008474,1.030619,0.021711,0.519813,灰区/证据不足,yes
REP-002-3,小号铁钉,7,humid_hot,不支持曾遭雷击,0.05,0.032079,0.641571,0.641571,0.05,0.049435,0.050521,0.021711,0.008775,不支持曾遭雷击,yes
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,2.5,0.387835,0.155134,0.155134,2.5,2.452456,2.546241,0.037514,0.999847,支持曾遭雷击,yes
REP-003-2,小号铁钉,30,normal,灰区/证据不足,1.02,0.158237,0.155134,0.155134,1.02,1.000602,1.038867,0.037514,0.519809,灰区/证据不足,yes
REP-003-3,小号铁钉,30,normal,不支持曾遭雷击,0.05,0.007757,0.155134,0.155134,0.05,0.049049,0.050925,0.037514,0.008775,不支持曾遭雷击,yes
REP-004-1,小号铁钉,30,humid_hot,支持曾遭雷击,2.5,0.551151,0.22046,0.22046,2.5,2.396154,2.596892,0.080295,0.999834,支持曾遭雷击,yes
REP-004-2,小号铁钉,30,humid_hot,灰区/证据不足,1.02,0.224869,0.22046,0.22046,1.02,0.977631,1.059532,0.080295,0.519788,灰区/证据不足,yes
REP-004-3,小号铁钉,30,humid_hot,不支持曾遭雷击,0.05,0.011023,0.22046,0.22046,0.05,0.047923,0.051938,0.080295,0.008776,不支持曾遭雷击,yes
