case_id,sample_type,delay_days,weather_scenario,target_decision,day,theta_static_mt,theta_dynamic_mt
REP-001-1,小号铁钉,7,normal,支持曾遭雷击,1,1.0,0.908353
REP-001-1,小号铁钉,7,normal,支持曾遭雷击,2,1.0,0.885299
REP-001-1,小号铁钉,7,normal,支持曾遭雷击,3,1.0,0.838241
REP-001-1,小号铁钉,7,normal,支持曾遭雷击,4,1.0,0.801747
REP-001-1,小号铁钉,7,normal,支持曾遭雷击,5,1.0,0.743882
REP-001-1,小号铁钉,7,normal,支持曾遭雷击,6,1.0,0.687745
REP-001-1,小号铁钉,7,normal,支持曾遭雷击,7,1.0,0.658728
REP-001-2,小号铁钉,7,normal,灰区/证据不足,1,1.0,0.908353
REP-001-2,小号铁钉,7,normal,灰区/证据不足,2,1.0,0.885299
REP-001-2,小号铁钉,7,normal,灰区/证据不足,3,1.0,0.838241
REP-001-2,小号铁钉,7,normal,灰区/证据不足,4,1.0,0.801747
REP-001-2,小号铁钉,7,normal,灰区/证据不足,5,1.0,0.743882
REP-001-2,小号铁钉,7,normal,灰区/证据不足,6,1.0,0.687745
REP-001-2,小号铁钉,7,normal,灰区/证据不足,7,1.0,0.658728
REP-001-3,小号铁钉,7,normal,不支持曾遭雷击,1,1.0,0.908353
REP-001-3,小号铁钉,7,normal,不支持曾遭雷击,2,1.0,0.885299
REP-001-3,小号铁钉,7,normal,不支持曾遭雷击,3,1.0,0.838241
REP-001-3,小号铁钉,7,normal,不支持曾遭雷击,4,1.0,0.801747
REP-001-3,小号铁钉,7,normal,不支持曾遭雷击,5,1.0,0.743882
REP-001-3,小号铁钉,7,normal,不支持曾遭雷击,6,1.0,0.687745
REP-001-3,小号铁钉,7,normal,不支持曾遭雷击,7,1.0,0.658728
REP-002-1,小号铁钉,7,humid_hot,支持曾遭雷击,1,1.0,0.895444
REP-002-1,小号铁钉,7,humid_hot,支持曾遭雷击,2,1.0,0.837352
REP-002-1,小号铁钉,7,humid_hot,支持曾遭雷击,3,1.0,0.7829
REP-002-1,小号铁钉,7,humid_hot,支持曾遭雷击,4,1.0,0.73063
REP-002-1,小号铁钉,7,humid_hot,支持曾遭雷击,5,1.0,0.681352
REP-002-1,小号铁钉,7,humid_hot,支持曾遭雷击,6,1.0,0.661404
REP-002-1,小号铁钉,7,humid_hot,支持曾遭雷击,7,1.0,0.641571
REP-002-2,小号铁钉,7,humid_hot,灰区/证据不足,1,1.0,0.895444
REP-002-2,小号铁钉,7,humid_hot,灰区/证据不足,2,1.0,0.837352
REP-002-2,小号铁钉,7,humid_hot,灰区/证据不足,3,1.0,0.7829
REP-002-2,小号铁钉,7,humid_hot,灰区/证据不足,4,1.0,0.73063
REP-002-2,小号铁钉,7,humid_hot,灰区/证据不足,5,1.0,0.681352
REP-002-2,小号铁钉,7,humid_hot,灰区/证据不足,6,1.0,0.661404
REP-002-2,小号铁钉,7,humid_hot,灰区/证据不足,7,1.0,0.641571
REP-002-3,小号铁钉,7,humid_hot,不支持曾遭雷击,1,1.0,0.895444
REP-002-3,小号铁钉,7,humid_hot,不支持曾遭雷击,2,1.0,0.837352
REP-002-3,小号铁钉,7,humid_hot,不支持曾遭雷击,3,1.0,0.7829
REP-002-3,小号铁钉,7,humid_hot,不支持曾遭雷击,4,1.0,0.73063
REP-002-3,小号铁钉,7,humid_hot,不支持曾遭雷击,5,1.0,0.681352
REP-002-3,小号铁钉,7,humid_hot,不支持曾遭雷击,6,1.0,0.661404
REP-002-3,小号铁钉,7,humid_hot,不支持曾遭雷击,7,1.0,0.641571
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,1,1.0,0.900186
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,2,1.0,0.860097
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,3,1.0,0.821194
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,4,1.0,0.793089
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,5,1.0,0.791378
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,6,1.0,0.774898
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,7,1.0,0.717922
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,8,1.0,0.663901
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,9,1.0,0.612805
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,10,1.0,0.587454
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,11,1.0,0.551994
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,12,1.0,0.538676
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,13,1.0,0.506336
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,14,1.0,0.489185
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,15,1.0,0.459146
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,16,1.0,0.43533
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,17,1.0,0.400391
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,18,1.0,0.36695
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,19,1.0,0.348405
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,20,1.0,0.331565
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,21,1.0,0.310407
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,22,1.0,0.289862
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,23,1.0,0.264686
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,24,1.0,0.241793
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,25,1.0,0.220843
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,26,1.0,0.208619
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,27,1.0,0.190266
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,28,1.0,0.180447
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,29,1.0,0.170086
REP-003-1,小号铁钉,30,normal,支持曾遭雷击,30,1.0,0.155134
REP-003-2,小号铁钉,30,normal,灰区/证据不足,1,1.0,0.900186
REP-003-2,小号铁钉,30,normal,灰区/证据不足,2,1.0,0.860097
