样品类型,样品编号,测量天数,观测剩磁(mT),保留率R,动态阈值(mT),反推初值点估计(mT),反推初值下界(mT),反推初值上界(mT),区间相对宽度,三区域判定,辅助概率,高风险提示
小号铁钉,1,1,2.1788,0.875958,0.875958,2.487333,2.480031,2.4944,0.005777,支持曾遭雷击,1.0,否
小号铁钉,1,2,1.9523,0.808559,0.808559,2.414542,2.407396,2.42145,0.005821,支持曾遭雷击,1.0,否
小号铁钉,1,3,1.7493,0.745802,0.745802,2.34553,2.338356,2.352492,0.006027,支持曾遭雷击,1.0,否
小号铁钉,1,4,1.6555,0.698656,0.698656,2.36955,2.36322,2.375705,0.005269,支持曾遭雷击,1.0,否
小号铁钉,1,5,1.5628,0.651078,0.651078,2.400327,2.394465,2.406007,0.004808,支持曾遭雷击,1.0,否
小号铁钉,1,6,1.4781,0.616501,0.616501,2.397562,2.393314,2.401635,0.003471,支持曾遭雷击,1.0,否
小号铁钉,1,7,1.3985,0.57979,0.57979,2.412079,2.408947,2.415082,0.002543,支持曾遭雷击,1.0,否
小号铁钉,1,8,1.3258,0.553038,0.553038,2.397304,2.396073,2.39847,0.001,支持曾遭雷击,1.0,否
小号铁钉,1,9,1.251,0.516667,0.516667,2.421288,2.420508,2.422114,0.000663,支持曾遭雷击,1.0,否
小号铁钉,1,10,1.1781,0.474942,0.474942,2.480511,2.479638,2.481415,0.000716,支持曾遭雷击,1.0,否
小号铁钉,1,11,1.1079,0.432305,0.432305,2.562776,2.561031,2.564511,0.001358,支持曾遭雷击,1.0,否
小号铁钉,1,12,1.0437,0.396366,0.396366,2.633174,2.630774,2.635619,0.00184,支持曾遭雷击,1.0,否
小号铁钉,1,13,0.9911,0.389712,0.389712,2.543158,2.541091,2.545323,0.001664,支持曾遭雷击,1.0,否
小号铁钉,1,14,0.9371,0.369112,0.369112,2.538795,2.535056,2.54267,0.002999,支持曾遭雷击,1.0,否
小号铁钉,1,15,0.8838,0.345197,0.345197,2.560277,2.555599,2.56512,0.003719,支持曾遭雷击,1.0,否
小号铁钉,1,22,0.4879,0.212358,0.212358,2.297533,2.288977,2.306167,0.007482,支持曾遭雷击,1.0,否
小号铁钉,1,30,0.2638,0.111506,0.111506,2.365802,2.357829,2.373945,0.006812,支持曾遭雷击,1.0,否
小号铁钉,1,37,0.1678,0.071699,0.071699,2.340329,2.325771,2.3553,0.012617,支持曾遭雷击,1.0,否
小号铁钉,1,44,0.1009,0.041917,0.041917,2.407113,2.391391,2.423545,0.013358,灰区/证据不足,1.0,是
小号铁钉,1,51,0.0602,0.022821,0.022821,2.637914,2.623402,2.652524,0.01104,灰区/证据不足,1.0,是
小号铁钉,1,58,0.0263,0.011383,0.011383,2.31056,2.30372,2.31739,0.005916,灰区/证据不足,1.0,是
小号铁钉,1,90,0.0014,0.00058,0.00058,2.413728,2.379502,2.44427,0.026833,灰区/证据不足,1.0,是
小号铁钉,2,1,3.3088,0.875958,0.875958,3.777349,3.76626,3.788081,0.005777,支持曾遭雷击,1.0,否
小号铁钉,2,2,2.9648,0.808559,0.808559,3.66677,3.655917,3.67726,0.005821,支持曾遭雷击,1.0,否
小号铁钉,2,3,2.6566,0.745802,0.745802,3.562073,3.551178,3.572646,0.006027,支持曾遭雷击,1.0,否
小号铁钉,2,4,2.5142,0.698656,0.698656,3.598624,3.589011,3.607972,0.005269,支持曾遭雷击,1.0,否
小号铁钉,2,5,2.3734,0.651078,0.651078,3.645339,3.636437,3.653965,0.004808,支持曾遭雷击,1.0,否
小号铁钉,2,6,2.2448,0.616501,0.616501,3.641193,3.634741,3.647378,0.003471,支持曾遭雷击,1.0,否
小号铁钉,2,7,2.1238,0.57979,0.57979,3.663049,3.658292,3.667608,0.002543,支持曾遭雷击,1.0,否
小号铁钉,2,8,2.0134,0.553038,0.553038,3.640618,3.638749,3.64239,0.001,支持曾遭雷击,1.0,否
小号铁钉,2,9,1.8998,0.516667,0.516667,3.677029,3.675843,3.678283,0.000663,支持曾遭雷击,1.0,否
小号铁钉,2,10,1.7892,0.474942,0.474942,3.767193,3.765868,3.768566,0.000716,支持曾遭雷击,1.0,否
小号铁钉,2,11,1.6825,0.432305,0.432305,3.891931,3.889281,3.894566,0.001358,支持曾遭雷击,1.0,否
小号铁钉,2,12,1.585,0.396366,0.396366,3.998832,3.995187,4.002544,0.00184,支持曾遭雷击,1.0,否
小号铁钉,2,13,1.5051,0.389712,0.389712,3.86208,3.85894,3.865367,0.001664,支持曾遭雷击,1.0,否
小号铁钉,2,14,1.4231,0.369112,0.369112,3.855468,3.84979,3.861353,0.002999,支持曾遭雷击,1.0,否
小号铁钉,2,15,1.3422,0.345197,0.345197,3.888214,3.88111,3.89557,0.003719,支持曾遭雷击,1.0,否
小号铁钉,2,22,0.741,0.212358,0.212358,3.489386,3.476393,3.5025,0.007482,支持曾遭雷击,1.0,否
小号铁钉,2,30,0.4007,0.111506,0.111506,3.593544,3.581433,3.605913,0.006812,支持曾遭雷击,1.0,否
