index,page_url,saved_html,saved_pdf,title,doi,abstract,journal,publication_date,pdf_url,authors,paragraph_count,word_count_est,crossref_query,crossref_publisher,crossref_container_title,crossref_score,crossref_abstract,error
1,https://doi.org/10.1029/2002gl015207,D:\CQUPT\self_file\competition\gjsschool2026\B题\赛题主要文件夹\问题四\外部数据抓取\raw\papers_html\Just_a_moment_5a4cb0b4c4.html,,Just a moment...,,,,,,[],0,0,lightning remanent magnetization,American Geophysical Union (AGU),Geophysical Research Letters,31.104351,"The impact of lightning is permanently recorded in struck material by a secondary magnetization called “lightning induced remanent magnetization” (LIRM). We introduce an original rock magnetic method based on alternating field demagnetization to define both the geometry and the intensity of the peak lightning magnetic field. It also provides positive evidence than a material has effectively been struck. On a schoolyard tree struck by lightning, we were able to locate the impact to within a few centimeters, to prove that it was a vertical negative current and to estimate a peak current intensity of 99 ± 7 kA. This value is 14 kA higher than the one provided by Meteorage lightning detection network and offers an independent calibration.",
2,https://doi.org/10.22541/essoar.176005203.38057263/v1,D:\CQUPT\self_file\competition\gjsschool2026\B题\赛题主要文件夹\问题四\外部数据抓取\raw\papers_html\Just_a_moment_e557a3837b.html,,Just a moment...,,,,,,[],0,0,lightning remanent magnetization,Wiley,,30.822655,,
3,https://doi.org/10.3133/b1083e,D:\CQUPT\self_file\competition\gjsschool2026\B题\赛题主要文件夹\问题四\外部数据抓取\raw\papers_html\Anomalous_remanent_magnetization_of_basalt_5a1d9fec77.html,D:\CQUPT\self_file\competition\gjsschool2026\B题\赛题主要文件夹\问题四\外部数据抓取\raw\papers_pdf\Anomalous_remanent_magnetization_of_basalt_5a1d9fec77.pdf,Anomalous remanent magnetization of basalt,10.3133/b1083E,,Bulletin,1960,https://pubs.usgs.gov/bul/1083e/report.pdf,"[""Allan Cox""]",7,0,lightning remanent magnetization,US Geological Survey,,30.483727,,
4,https://doi.org/10.1002/(sici)1520-6416(199806)123:4<41::aid-eej6>3.0.co;2-o,D:\CQUPT\self_file\competition\gjsschool2026\B题\赛题主要文件夹\问题四\外部数据抓取\raw\papers_html\Just_a_moment_7169be88b7.html,,Just a moment...,,,,,,[],0,0,lightning remanent magnetization,Wiley,Electrical Engineering in Japan,30.165272,,
5,https://doi.org/10.1093/gji/ggt230,D:\CQUPT\self_file\competition\gjsschool2026\B题\赛题主要文件夹\问题四\外部数据抓取\raw\papers_html\Just_a_moment_fb116efc47.html,,Just a moment...,,,,,,[],0,0,lightning remanent magnetization,Oxford University Press (OUP),Geophysical Journal International,29.664116,,
6,https://doi.org/10.22541/essoar.169945514.44942099/v1,D:\CQUPT\self_file\competition\gjsschool2026\B题\赛题主要文件夹\问题四\外部数据抓取\raw\papers_html\Just_a_moment_204e38720a.html,,Just a moment...,,,,,,[],0,0,lightning remanent magnetization,Wiley,,29.557867,,
7,https://doi.org/10.22541/essoar.177316864.44350310/v1,D:\CQUPT\self_file\competition\gjsschool2026\B题\赛题主要文件夹\问题四\外部数据抓取\raw\papers_html\Just_a_moment_2b42c0d2ac.html,,Just a moment...,,,,,,[],0,0,lightning remanent magnetization,Wiley,,29.204613,,
8,https://doi.org/10.3133/b1203a,D:\CQUPT\self_file\competition\gjsschool2026\B题\赛题主要文件夹\问题四\外部数据抓取\raw\papers_html\Measurement_of_the_remanent_magnetization_of_igneous_rocks_a16cefbc24.html,D:\CQUPT\self_file\competition\gjsschool2026\B题\赛题主要文件夹\问题四\外部数据抓取\raw\papers_pdf\Measurement_of_the_remanent_magnetization_of_igneous_rocks_a16cefbc24.pdf,Measurement of the remanent magnetization of igneous rocks,10.3133/b1203A,,Bulletin,1965,https://pubs.usgs.gov/bul/1203a/report.pdf,"[""Richard Rayman Doell"", ""Allan Cox""]",7,0,lightning remanent magnetization,US Geological Survey,,28.779617,,
9,https://doi.org/10.1126/science.170.3958.628,D:\CQUPT\self_file\competition\gjsschool2026\B题\赛题主要文件夹\问题四\外部数据抓取\raw\papers_html\Just_a_moment_fd1465f09a.html,,Just a moment...,,,,,,[],0,0,lightning remanent magnetization,American Association for the Advancement of Science (AAAS),Science,28.562578,"Recent studies have shown that the remanent magnetization carried by an extrusive igneous rock may not be entirely thermal remanent magnetization (TRM). Some may be thermochemical remanent magnetization (TCRM) acquired by the rock at temperatures at least as low as 300°C during oxidation of the contained titanomagnetite grains. Results from a study of a set of basaltic samples from one locality indicate that the intensity of TCRM acquired by a sample in a known magnetic field is equal to that of TRM subsequently produced in the same sample in the same field. On the assumption that the samples we studied are not magnetically unique, we tentatively conclude that paleointensity studies are valid in spite of the presence of TCRM, as long as the rock acquired the magnetization during the initial cooling.",
10,https://doi.org/10.22564/19cisbgf2025.565,,,Investigating if Lightning-Induced Remanent Magnetization can Explain the Martian Magnetic Anomalies,10.22564/19cisbgf2025.565,,,,,,,,,,,,,'utf-8' codec can't decode byte 0xe2 in position 13: invalid continuation byte
