query,title,doi,url,publisher,container_title,published
lightning induced isothermal remanent magnetization,"Magnetization, Isothermal Remanent",10.1007/springerreference_77686,https://doi.org/10.1007/springerreference_77686,Springer-Verlag,SpringerReference,None
lightning induced isothermal remanent magnetization,Drilling-induced isothermal remanent magnetization,10.1190/1.1442765,https://doi.org/10.1190/1.1442765,Society of Exploration Geophysicists,Geophysics,1990-1-1
lightning induced isothermal remanent magnetization,"Magnetization, Isothermal Remanent",10.1007/978-1-4020-4423-6_192,https://doi.org/10.1007/978-1-4020-4423-6_192,Springer Netherlands,Encyclopedia of Geomagnetism and Paleomagnetism,None
lightning induced isothermal remanent magnetization,"A geomagnetic total intensity anomaly originated from lightning-induced isothermal remanent magnetization: case of the Yatsugatake Magnetic Observatory, central Japan",10.1186/bf03352687,https://doi.org/10.1186/bf03352687,Springer Science and Business Media LLC,"Earth, Planets and Space",2007-3
lightning induced isothermal remanent magnetization,isothermal remanent magnetization,10.1007/978-3-642-41714-6_91991,https://doi.org/10.1007/978-3-642-41714-6_91991,Springer Berlin Heidelberg,Dictionary Geotechnical Engineering/Wörterbuch GeoTechnik,2014
lightning induced isothermal remanent magnetization,Insights on lightning-induced remanent magnetization from high-current impulse experiments,10.22541/essoar.176005203.38057263/v1,https://doi.org/10.22541/essoar.176005203.38057263/v1,Wiley,,2025-10-9
lightning induced isothermal remanent magnetization,6.2.3.2.4 Isothermal remanent magnetization IRM,10.1007/10201909_71,https://doi.org/10.1007/10201909_71,Springer-Verlag,Landolt-Börnstein - Group V Geophysics,None
lightning induced isothermal remanent magnetization,"Lightning-induced remanent magnetization—the Vredefort impact structure, South Africa",10.1093/gji/ggt230,https://doi.org/10.1093/gji/ggt230,Oxford University Press (OUP),Geophysical Journal International,2013-7-5
lightning induced isothermal remanent magnetization,The Effect of Measuring Magnetic Susceptibility of Water Samples by Starting with Isothermal Remanent Magnetization (IRM) before Anhysteretic Remanent Magnetization (ARM),10.4236/ijg.2015.66048,https://doi.org/10.4236/ijg.2015.66048,"Scientific Research Publishing, Inc.",International Journal of Geosciences,2015
lightning induced isothermal remanent magnetization,Insights on lightning-induced remanent magnetization from high-current impulse experiments,10.22541/essoar.177316864.44350310/v1,https://doi.org/10.22541/essoar.177316864.44350310/v1,Wiley,,2026-3-10
lightning induced isothermal remanent magnetization,Investigating if Lightning-Induced Remanent Magnetization can Explain the Martian Magnetic Anomalies,10.22564/19cisbgf2025.565,https://doi.org/10.22564/19cisbgf2025.565,Brazilian Geophysical Society,19th Congress of the Brazilian Geophysical Society - Proceedings,2025-11
lightning induced isothermal remanent magnetization,Drilling-induced isothermal remanent magnetization. Short note,10.1016/0148-9062(90)90623-a,https://doi.org/10.1016/0148-9062(90)90623-a,Elsevier BV,International Journal of Rock Mechanics and Mining Sciences &amp; Geomechanics Abstracts,1990-8
lightning induced isothermal remanent magnetization,"Magnetization, Depositional Remanent",10.1007/springerreference_77685,https://doi.org/10.1007/springerreference_77685,Springer-Verlag,SpringerReference,None
lightning induced isothermal remanent magnetization,"Magnetization, Anhysteretic Remanent",10.1007/springerreference_77683,https://doi.org/10.1007/springerreference_77683,Springer-Verlag,SpringerReference,None
