tag,prec_no,block_no,year,month,day,date,pressure_local_hpa,pressure_sea_level_hpa,pressure_extra_hpa,pressure_extra_time,precip_total_mm,precip_1h_max_mm,precip_1h_max_time,precip_10m_max_mm,precip_10m_max_time,temp_mean_c,temp_max_c,temp_max_time,temp_min_c,temp_min_time,vapor_pressure_hpa,humidity_mean_pct,humidity_min_pct,humidity_min_time,page_url,saved_html
jma_0402_48,48,0402,2024,1,1,2024-01-01,,,,,1.0,1.0,03:23,0.5,03:10,2.1,6.2,11:41,-2.6,23:23,5.3,74.0,50.0,13:01,https://www.data.jma.go.jp/stats/etrn/view/daily_a1.php?block_no=0402&day=&month=01&prec_no=48&view=a1s&year=2024,D:\CQUPT\self_file\competition\gjsschool2026\B题\赛题主要文件夹\问题四\外部数据抓取\raw\weather_html\jma_0402_48_2024_01_30be6699d4.html
jma_0402_48,48,0402,2024,1,2,2024-01-02,,,,,0.0,0.0,24:00,0.0,24:00,0.6,9.5,14:24,-4.8,07:04,5.1,81.0,49.0,14:25,https://www.data.jma.go.jp/stats/etrn/view/daily_a1.php?block_no=0402&day=&month=01&prec_no=48&view=a1s&year=2024,D:\CQUPT\self_file\competition\gjsschool2026\B题\赛题主要文件夹\问题四\外部数据抓取\raw\weather_html\jma_0402_48_2024_01_30be6699d4.html
jma_0402_48,48,0402,2024,1,3,2024-01-03,,,,,0.0,0.0,24:00,0.0,24:00,1.9,7.2,15:02,-3.4,04:35,6.0,85.0,58.0,14:02,https://www.data.jma.go.jp/stats/etrn/view/daily_a1.php?block_no=0402&day=&month=01&prec_no=48&view=a1s&year=2024,D:\CQUPT\self_file\competition\gjsschool2026\B题\赛题主要文件夹\问题四\外部数据抓取\raw\weather_html\jma_0402_48_2024_01_30be6699d4.html
jma_0402_48,48,0402,2024,1,4,2024-01-04,,,,,0.5,0.5,09:24,0.5,08:34,2.6,7.8,13:15,-1.5,24:00,6.2,85.0,56.0,16:01,https://www.data.jma.go.jp/stats/etrn/view/daily_a1.php?block_no=0402&day=&month=01&prec_no=48&view=a1s&year=2024,D:\CQUPT\self_file\competition\gjsschool2026\B题\赛题主要文件夹\问题四\外部数据抓取\raw\weather_html\jma_0402_48_2024_01_30be6699d4.html
jma_0402_48,48,0402,2024,1,5,2024-01-05,,,,,0.0,0.0,24:00,0.0,24:00,1.4,11.8,14:16,-4.9,07:02,5.2,79.0,40.0,14:17,https://www.data.jma.go.jp/stats/etrn/view/daily_a1.php?block_no=0402&day=&month=01&prec_no=48&view=a1s&year=2024,D:\CQUPT\self_file\competition\gjsschool2026\B题\赛题主要文件夹\问题四\外部数据抓取\raw\weather_html\jma_0402_48_2024_01_30be6699d4.html
jma_0402_48,48,0402,2024,1,6,2024-01-06,,,,,0.0,0.0,24:00,0.0,24:00,3.9,14.6,14:46,-3.9,06:39,5.4,70.0,36.0,14:49,https://www.data.jma.go.jp/stats/etrn/view/daily_a1.php?block_no=0402&day=&month=01&prec_no=48&view=a1s&year=2024,D:\CQUPT\self_file\competition\gjsschool2026\B题\赛题主要文件夹\问题四\外部数据抓取\raw\weather_html\jma_0402_48_2024_01_30be6699d4.html
jma_0402_48,48,0402,2024,1,7,2024-01-07,,,,,0.0,0.0,24:00,0.0,24:00,2.7,8.0,12:52,-1.2,23:28,5.1,70.0,38.0,14:58,https://www.data.jma.go.jp/stats/etrn/view/daily_a1.php?block_no=0402&day=&month=01&prec_no=48&view=a1s&year=2024,D:\CQUPT\self_file\competition\gjsschool2026\B题\赛题主要文件夹\问题四\外部数据抓取\raw\weather_html\jma_0402_48_2024_01_30be6699d4.html
jma_0402_48,48,0402,2024,1,8,2024-01-08,,,,,0.5,0.5,03:39,0.5,02:49,-0.9,3.6,13:15,-5.2,24:00,4.1,73.0,42.0,12:40,https://www.data.jma.go.jp/stats/etrn/view/daily_a1.php?block_no=0402&day=&month=01&prec_no=48&view=a1s&year=2024,D:\CQUPT\self_file\competition\gjsschool2026\B题\赛题主要文件夹\问题四\外部数据抓取\raw\weather_html\jma_0402_48_2024_01_30be6699d4.html
jma_0402_48,48,0402,2024,1,9,2024-01-09,,,,,0.0,0.0,24:00,0.0,24:00,-2.2,7.1,15:00,-8.5,07:17,3.7,73.0,38.0,14:20,https://www.data.jma.go.jp/stats/etrn/view/daily_a1.php?block_no=0402&day=&month=01&prec_no=48&view=a1s&year=2024,D:\CQUPT\self_file\competition\gjsschool2026\B题\赛题主要文件夹\问题四\外部数据抓取\raw\weather_html\jma_0402_48_2024_01_30be6699d4.html
jma_0402_48,48,0402,2024,1,10,2024-01-10,,,,,0.0,0.0,24:00,0.0,24:00,-0.9,5.3,13:51,-5.7,07:22,4.6,82.0,52.0,14:23,https://www.data.jma.go.jp/stats/etrn/view/daily_a1.php?block_no=0402&day=&month=01&prec_no=48&view=a1s&year=2024,D:\CQUPT\self_file\competition\gjsschool2026\B题\赛题主要文件夹\问题四\外部数据抓取\raw\weather_html\jma_0402_48_2024_01_30be6699d4.html
